ID,Name,Artist,Hyperlink,References,Publication,Year,CO_Exhibition,CO_Outdoor,CO_Indoor,CO_School,CO_Prototype,AU_Adults,AU_Child,AU_Both,IV_None,IV_NonSonic,IV_Visual_Int,IV_SonicEl,LS_Dyn_Path,LS_Dyn_NoSpec,LS_SweetSpot,LP_Ephemeral,LP_Temp,LP_Semi,SD_Mat_Abstract,SD_Mat_Ref,SD_Mat_Son,SD_Mat_Local,SD_Mat_Pre,SD_Mat_Feedback,SD_Mat_Gen,SD_SiteAcou,LI_None,LI_Spot,LI_Dynamic,RS_Expr,RS_Info,RS_Didactic,IA_Many,IA_FewA,IA_OneA,IA_None,IDof_One,IDof_Several,IDof_Many,ODof_One,ODof_Several,ODof_Many,FT_Vis,FT_Haptic,FT_Sonic,FT_Heat,MC_Process,MC_Note,MC_Timbral,IT_Activity,IT_Network,IT_Embodied,IT_Motion,IT_VisiSounds,IT_Natural,TS_PressurePad,TS_Piezo,TS_Acc,TS_Mic,TS_Cam,TS_MotionSensing,TS_Proximity,TS_Server,TS_Touch,TS_Torque,TS_Potentiometer,TS_Env_Solar,TS_Env_Heat,TS_Env_Wind,SP_Num_One,SP_Num_Two,SP_Num_Multiple,SP_Hea_Mono,SP_Hea_Stereo,SP_Pnt_Same,SP_Pnt_Diff,SP_Pnt_Dyna,SP_Cnt_Channel,SP_Cnt_Algo,SP_Dir_Directive,SP_Dir_Omni,SG_Speakers,SG_Obj_Elec,SG_Obj_Mecha,SG_Obj_Reso,SG_Musical,UE_Obs,UE_Quant
1,Coat Hanger Exhibition / Surfaces and Cavities,Ros Bandt,doi:10.1080/07494460600761021,Bandt 2006,Contemporary Music Review,1977,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
2,Keys to your Music,David Behrman,doi:10.1080/07494469100640131,Behrman 1991,Contemporary Music Review,1989,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,1,1,0,0,1,1,0,0
3,Recycled Soundscapes,Karmen Franinovic and Yon Visell,https://doi.org/10.1145/1279740.1279776,Franinovic 2007,NIME,2004,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
4,Skyhooks,Karmen Franinovic and Yon Visell,https://doi.org/10.1145/1279740.1279776,Franinovic 2007,NIME,2006,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0
5,Shadowgraphs,Guy Harries,https://doi:10.1017/S1355771812000192,Harries 2013,Organised Sound,2009-2011,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0
6,Vocal Migrations,Kathy Hinde,DOI:10.4324/9780429266454-8,Keylin 2019,"Cultures of Participation: Arts, Digital Media and Cultural Institutions",2012,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
7,Traffic Mantra,Bruce Odland and Sam Auinger,10.1162/lmj.2009.19.63,Odland 2009,Leonardo Music Journal,1992,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
8,Harmonic Bridges,Bruce Odland and Sam Auinger,10.1162/lmj.2009.19.63,Odland 2009,Leonardo Music Journal,1998-,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
9,Blue Moon,Bruce Odland and Sam Auinger,10.1162/lmj.2009.19.63,Odland 2009,Leonardo Music Journal,2004,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
10,Sonic Vista,Bruce Odland and Sam Auinger,https://vimeo.com/84067137,Cross Reference,NA,2011-,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
